external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,video_custom,title_custom,type,team,start
MgwdlK06Evw,1230736,20100529,Kobe Bryant Impossible Fadeaway vs Suns,Kobe Bryant,2010,1306655,YuNxlx27EQ8,LA Lakers Vs Phoenix Suns Game 6 NBA PLAYOFFS 2010 5/29/10,75919,1,20100529-Kobe Bryant,,Kobe fadeaway vs. the Suns,,lal|pho,
piij1QpvM3U,972044,20140311,Russell Westbrook loses cool when Patrick Beverley goes for a steal,"Russell Westbrook,Patrick Beverley",2010,1300887,k6jLVD85bis|wvqS-lq-X0w,Pat Beverley hounds Russell Westbrook|Pat Beverley flat picks Russell Westbrook's pocket,315465|13378,2,20140311-Russell Westbrook,,Patrick Beverly picks Westbrook's pocket,,hou|okc,
RTPkUU_JGno,1294082,20100502,Derek Fisher Makes Deron Williams Cry Lakers vs Utah Game 1 Playoffs 5/02/10,"Derek Fisher,Deron Williams",2010,1294082,,,,0,20100502-Derek Fisher,,"Derek Fisher vs. the Jazz, game 1",,uta|lal,
3VcZCpjQJa8,1270366,20150405,Kawhi Leonard vs Stephen Curry Full Highlights 2015.04.05 - Finals MVP vs League MVP Duel!,"Stephen Curry,Kawhi Leonard",2010,1281016,jhem1WJZDDY,Kawhi Leonard vs Stephen Curry Superstars Duel 2015.04.05 GSW at SAS - NASTY Show!,10650,1,20150405-Stephen Curry,,Kawhi vs. Curry,,sas,
PzGolkfK2Ak,1146848,20130401,"Kobe Bryant Steals Ball, Dunks On Chris Paul - Lakers @ Clippers 1/4/2013","Kobe Bryant,Chris Paul",2010,1277740,tvRFZfK8R8U,Kobe Bryant 38 Points @ Los Angeles Clippers (Dunk over Chris Paul) - 04/01/2013,130892,1,20130401-Kobe Bryant,,Kobe dunks on Chris Paul,,lal|lac,
fSVzjUP8dVs,1218665,20140427,Vince Carter's Incredible Shot Sinks the Spurs in Game 3: Taco Bell Buzzer Beater,Vince Carter,2010,1218665,,,,0,20140427-Vince Carter,,Vince Carter sinks buzzer-beater,,sas|dal,
kH0-QR9IzM4,1138990,20120212,"Rasheed Wallace shouts ""Ball Don't Lie!"", gets ejected 2/12/12","Rasheed Wallace,Luis Scola",2010,1138990,,,,0,20120212-Rasheed Wallace,,Ball don't lie,,nyk|pho,
VolROn1613o,1096768,20101029,"Stephen Curry gets ankle broken by Eric Gordon (Oct. 29, 2010)","Eric Gordon,Stephen Curry",2010,1136626,1nw-8cIZTZM|qlv52rk4qVM,Eric Gordon breaks Steph Curry's ankle - CLIPPES vs WARRIORS 10/29/10|Warriors warm up featuring Stephen Curry and Jeremy Lin,26886|12972,2,20101029-Eric Gordon,,Eric Gordon crosses up Stephen Curry,,gsw,
Qrj8UCnKTpM,637394,20160209,Warriors 2015-16 Season: Game 51 VS Rockets,Stephen Curry,2010,1134995,XIXZd58th8c|mfhqxJQZ2xE|Y8H1SZlX9V4|PROyqAhKQTs,"James Harden vs Stephen Curry NASTY Duel 2016.02.09 - Harden With 37 Pts, Steph With 35!|[Ep. 16/15-16] Inside The NBA (on TNT) Full Episode - Curry's 35/Warriors 42nd Straight Home Win|Stephen Curry fools James Harden with SICK behind-the-back pass!|Houston Rockets vs Golden State Warriors - February 9, 2016",233733|135017|68382|60469,4,20160209-Stephen Curry,,Curry vs. Harden,,gsw,
ey2c-srSVLg,1089433,20141130,Kobe Bryant death stare at ref... then destroys Terrence Ross with Stepback Jumper (11/30/2014),"Terrence Ross,Kobe Bryant",2010,1121748,M2bzipOyQ5g|tfrFM2hSVjI,"November 30, 2014 - Raptors vs. Lakers - Kobe Bryant No Look Pass To Carlos Boozer|November 30, 2014 - Raptors vs. Lakers - Kobe Bryant And 1 And Death Stare",17609|14706,2,20141130-Terrence Ross,,Kobe hits stepback jumper,,lal,
