external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,annotation
HZxn4EPRqfg,27987,19841227,Michael Jordan Scores 45 Points in Win Over Cleveland Cavaliers,Michael Jordan,1980,27987,,,,0,19841227-Michael Jordan
bJZYTkjnDlU,27945,19870405,"Charles Barkley 28/18/6/3/4 vs 80s Celtics ""Big 3"" (April 5, 1987) Part 1","Kevin McHale,Larry Bird,Charles Barkley",1980,27945,,,,0,19870405-Kevin McHale
MK7CxNnOTBo,27836,19871212,Ralph Sampson Vs Akeem Olajuwon,"Hakeem Olajuwon,Sleepy Floyd,Ralph Sampson",1980,27836,,,,0,19871212-Hakeem Olajuwon
s0y5t5WL_lc,26866,19841227,Hakeem Olajuwon Scores 26 Points and Grabs 17 Rebounds vs. Kansas City Kings,Hakeem Olajuwon,1980,26866,,,,0,19841227-Hakeem Olajuwon
Z-KwKm3FpeU,15850,19890413,Michael Jordan 47 Points TRIPLE DOUBLE vs Indiana Pacers! (Unbelievable),Michael Jordan,1980,26648,bXA49CXNbQk,"Michael Jordan 47pts 11rebs 13asts 4stls - Monster Triple Double vs Indiana Pacers (April 13, 1989)",10798,1,19890413-Michael Jordan
nisdCNpYIjA,26342,19870226,Michael Jordan 58 pts vs. Nets - 1987,Michael Jordan,1980,26342,,,,0,19870226-Michael Jordan
6-nB-EOseNY,26127,19870324,Michael Jordan 56 pts vs. 76ers - 1987,Michael Jordan,1980,26127,,,,0,19870324-Michael Jordan
1DNCiQzeCTo,26006,19851127,"Larry Bird Goes Off For 47 Points, 12 Rebounds  |  11.27.85",Larry Bird,1980,26006,,,,0,19851127-Larry Bird
XIUslA-jsiw,24612,19890113,Michael Jordan Triple Double vs Denver Nuggets! (38/12/11) Amazing Game Winning Plays!,Michael Jordan,1980,24612,,,,0,19890113-Michael Jordan
8QJkg7ZyNCI,24424,19831213,Kiki Vandeweghe (51pts/8asts) vs. Pistons (1983),Kiki Vandeweghe,1980,24424,,,,0,19831213-Kiki Vandeweghe
xoXOAs4Gz5A,23768,19810514,1981 NBA Finals Game 6 Highlights,Larry Bird,1980,23768,,,,0,19810514-Larry Bird
Cp9rjNgN0mY,23508,19850303,"March 3, 1985 Pistons@Celtics (Kevin McHale 56 points 16 rebounds!!!!!!)","Larry Bird,Kevin McHale",1980,23508,,,,0,19850303-Larry Bird
hwZNqHZJCNQ,23420,19851025,1985-86 NBA Season Opening Game | Michael Jordan Destroys the Cleveland Cavaliers!,Michael Jordan,1980,23420,,,,0,19851025-Michael Jordan
Wl8e_zPlfG4,23218,19891220,MICHAEL JORDAN: 52 pts vs Orlando Magic (1989.12.20),Michael Jordan,1980,23218,,,,0,19891220-Michael Jordan
RpzZ8NWka8c,21491,19841018,Michael Jordan - MSG NBA Debut v Knicks 1984,Michael Jordan,1980,21491,,,,0,19841018-Michael Jordan
lGrWabCtHtU,20580,19880212,Roy Tarpley (16pts/14rebs) vs. Celtics (1988),Roy Tarpley,1980,20580,,,,0,19880212-Roy Tarpley
9XripG6KMpI,19281,19850127,Larry Bird crushes the Blazers at the buzzer,"Larry Bird,Clyde Drexler",1980,19281,,,,0,19850127-Larry Bird
oT5C2l_sJoE,19280,19820117,Dwyane Wade - Miami's Greatest,Dwyane Wade,1980,19280,,,,0,19820117-Dwyane Wade
